Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
wminkowski,1,8,17,0.5691699604743083
wminkowski,1,8,18,0.5019762845849802
wminkowski,1,8,19,0.5889328063241107
wminkowski,1,8,20,0.4980237154150198
wminkowski,1,9,1,0.5296442687747036
wminkowski,1,9,2,0.5335968379446641
wminkowski,1,9,3,0.5335968379446641
wminkowski,1,9,4,0.5691699604743083
wminkowski,1,9,5,0.6086956521739131
wminkowski,1,9,6,0.4743083003952569
wminkowski,1,9,7,0.5968379446640316
wminkowski,1,9,8,0.5849802371541502
wminkowski,1,9,9,0.5573122529644269
wminkowski,1,9,10,0.5573122529644269
wminkowski,1,9,11,0.6363636363636364
wminkowski,1,9,12,0.5573122529644269
wminkowski,1,9,13,0.5731225296442688
wminkowski,1,9,14,0.5652173913043478
wminkowski,1,9,15,0.5652173913043478
wminkowski,1,9,16,0.5335968379446641
wminkowski,1,9,17,0.5968379446640316
wminkowski,1,9,18,0.5612648221343873
wminkowski,1,9,19,0.5810276679841897
wminkowski,1,9,20,0.549407114624506
wminkowski,1,10,1,0.5454545454545454
wminkowski,1,10,2,0.45849802371541504
wminkowski,1,10,3,0.5177865612648221
wminkowski,1,10,4,0.5810276679841897
wminkowski,1,10,5,0.5691699604743083
wminkowski,1,10,6,0.525691699604743
wminkowski,1,10,7,0.4743083003952569
wminkowski,1,10,8,0.5296442687747036
wminkowski,1,10,9,0.541501976284585
wminkowski,1,10,10,0.549407114624506
wminkowski,1,10,11,0.5810276679841897
wminkowski,1,10,12,0.5652173913043478
wminkowski,1,10,13,0.6205533596837944
wminkowski,1,10,14,0.5968379446640316
wminkowski,1,10,15,0.48221343873517786
wminkowski,1,10,16,0.6047430830039525
wminkowski,1,10,17,0.5375494071146245
wminkowski,1,10,18,0.5612648221343873
wminkowski,1,10,19,0.5533596837944664
wminkowski,1,10,20,0.5098814229249012
wminkowski,1,11,1,0.5375494071146245
wminkowski,1,11,2,0.5612648221343873
wminkowski,1,11,3,0.525691699604743
wminkowski,1,11,4,0.549407114624506
wminkowski,1,11,5,0.43478260869565216
wminkowski,1,11,6,0.5454545454545454
wminkowski,1,11,7,0.5770750988142292
wminkowski,1,11,8,0.5296442687747036
wminkowski,1,11,9,0.4901185770750988
wminkowski,1,11,10,0.4980237154150198
wminkowski,1,11,11,0.5138339920948617
wminkowski,1,11,12,0.48221343873517786
wminkowski,1,11,13,0.5573122529644269
wminkowski,1,11,14,0.5335968379446641
wminkowski,1,11,15,0.47035573122529645
wminkowski,1,11,16,0.5612648221343873
wminkowski,1,11,17,0.549407114624506
wminkowski,1,11,18,0.5296442687747036
wminkowski,1,11,19,0.5138339920948617
wminkowski,1,11,20,0.5573122529644269
wminkowski,1,12,1,0.5691699604743083
wminkowski,1,12,2,0.5059288537549407
wminkowski,1,12,3,0.47035573122529645
wminkowski,1,12,4,0.5019762845849802
wminkowski,1,12,5,0.5059288537549407
wminkowski,1,12,6,0.5019762845849802
wminkowski,1,12,7,0.5928853754940712
wminkowski,1,12,8,0.49407114624505927
wminkowski,1,12,9,0.5454545454545454
wminkowski,1,12,10,0.5375494071146245
wminkowski,1,12,11,0.4505928853754941
wminkowski,1,12,12,0.5612648221343873
wminkowski,1,12,13,0.5810276679841897
wminkowski,1,12,14,0.5177865612648221
wminkowski,1,12,15,0.5652173913043478
wminkowski,1,12,16,0.4782608695652174
wminkowski,1,12,17,0.5454545454545454
wminkowski,1,12,18,0.5217391304347826
wminkowski,1,12,19,0.549407114624506
wminkowski,1,12,20,0.5573122529644269
wminkowski,1,13,1,0.5731225296442688
wminkowski,1,13,2,0.5454545454545454
wminkowski,1,13,3,0.4505928853754941
wminkowski,1,13,4,0.5928853754940712
wminkowski,1,13,5,0.6205533596837944
wminkowski,1,13,6,0.5059288537549407
wminkowski,1,13,7,0.5533596837944664
wminkowski,1,13,8,0.5691699604743083
wminkowski,1,13,9,0.45849802371541504
wminkowski,1,13,10,0.5177865612648221
wminkowski,1,13,11,0.5889328063241107
wminkowski,1,13,12,0.49407114624505927
wminkowski,1,13,13,0.5138339920948617
wminkowski,1,13,14,0.5849802371541502
wminkowski,1,13,15,0.4308300395256917
wminkowski,1,13,16,0.5138339920948617
wminkowski,1,13,17,0.6086956521739131
wminkowski,1,13,18,0.5296442687747036
wminkowski,1,13,19,0.4980237154150198
wminkowski,1,13,20,0.6007905138339921
wminkowski,1,14,1,0.5098814229249012
wminkowski,1,14,2,0.5375494071146245
wminkowski,1,14,3,0.5217391304347826
wminkowski,1,14,4,0.5612648221343873
wminkowski,1,14,5,0.5098814229249012
wminkowski,1,14,6,0.5296442687747036
wminkowski,1,14,7,0.48616600790513836
wminkowski,1,14,8,0.4980237154150198
wminkowski,1,14,9,0.5296442687747036
wminkowski,1,14,10,0.48221343873517786
wminkowski,1,14,11,0.4743083003952569
wminkowski,1,14,12,0.5770750988142292
wminkowski,1,14,13,0.5059288537549407
wminkowski,1,14,14,0.5968379446640316
wminkowski,1,14,15,0.5810276679841897
wminkowski,1,14,16,0.5573122529644269
wminkowski,1,14,17,0.5849802371541502
wminkowski,1,14,18,0.5810276679841897
wminkowski,1,14,19,0.4624505928853755
wminkowski,1,14,20,0.5652173913043478
wminkowski,1,15,1,0.4980237154150198
wminkowski,1,15,2,0.5375494071146245
wminkowski,1,15,3,0.4624505928853755
wminkowski,1,15,4,0.5533596837944664
wminkowski,1,15,5,0.6086956521739131
wminkowski,1,15,6,0.5217391304347826
wminkowski,1,15,7,0.5335968379446641
wminkowski,1,15,8,0.525691699604743
wminkowski,1,15,9,0.5454545454545454
wminkowski,1,15,10,0.5138339920948617
wminkowski,1,15,11,0.5019762845849802
wminkowski,1,15,12,0.47035573122529645
wminkowski,1,15,13,0.5691699604743083
wminkowski,1,15,14,0.616600790513834
wminkowski,1,15,15,0.5296442687747036
wminkowski,1,15,16,0.5691699604743083
wminkowski,1,15,17,0.4426877470355731
wminkowski,1,15,18,0.5731225296442688
wminkowski,1,15,19,0.5612648221343873
wminkowski,1,15,20,0.6205533596837944
wminkowski,1,20,1,0.40711462450592883
wminkowski,1,20,2,0.5810276679841897
wminkowski,1,20,3,0.5533596837944664
wminkowski,1,20,4,0.5177865612648221
wminkowski,1,20,5,0.6126482213438735
wminkowski,1,20,6,0.5098814229249012
wminkowski,1,20,7,0.5217391304347826
wminkowski,1,20,8,0.5217391304347826
wminkowski,1,20,9,0.5573122529644269
wminkowski,1,20,10,0.5375494071146245
wminkowski,1,20,11,0.5177865612648221
wminkowski,1,20,12,0.549407114624506
wminkowski,1,20,13,0.5098814229249012
wminkowski,1,20,14,0.5691699604743083
wminkowski,1,20,15,0.541501976284585
wminkowski,1,20,16,0.6047430830039525
wminkowski,1,20,17,0.5810276679841897
wminkowski,1,20,18,0.541501976284585
wminkowski,1,20,19,0.549407114624506
wminkowski,1,20,20,0.549407114624506
wminkowski,1,25,1,0.6007905138339921
wminkowski,1,25,2,0.5770750988142292
wminkowski,1,25,3,0.5652173913043478
wminkowski,1,25,4,0.6086956521739131
wminkowski,1,25,5,0.5968379446640316
wminkowski,1,25,6,0.5098814229249012
wminkowski,1,25,7,0.541501976284585
wminkowski,1,25,8,0.5217391304347826
wminkowski,1,25,9,0.48616600790513836
wminkowski,1,25,10,0.5019762845849802
wminkowski,1,25,11,0.6007905138339921
wminkowski,1,25,12,0.6205533596837944
wminkowski,1,25,13,0.616600790513834
wminkowski,1,25,14,0.6047430830039525
wminkowski,1,25,15,0.5138339920948617
wminkowski,1,25,16,0.525691699604743
wminkowski,1,25,17,0.5810276679841897
wminkowski,1,25,18,0.5889328063241107
wminkowski,1,25,19,0.5849802371541502
wminkowski,1,25,20,0.5335968379446641
wminkowski,1,30,1,0.6284584980237155
wminkowski,1,30,2,0.5296442687747036
wminkowski,1,30,3,0.549407114624506
wminkowski,1,30,4,0.6086956521739131
wminkowski,1,30,5,0.5770750988142292
wminkowski,1,30,6,0.5770750988142292
wminkowski,1,30,7,0.5573122529644269
wminkowski,1,30,8,0.5612648221343873
wminkowski,1,30,9,0.5810276679841897
wminkowski,1,30,10,0.5731225296442688
wminkowski,1,30,11,0.5849802371541502
wminkowski,1,30,12,0.6205533596837944
wminkowski,1,30,13,0.6640316205533597
wminkowski,1,30,14,0.6126482213438735
wminkowski,1,30,15,0.5573122529644269
wminkowski,1,30,16,0.5889328063241107
wminkowski,1,30,17,0.5691699604743083
wminkowski,1,30,18,0.5889328063241107
wminkowski,1,30,19,0.5968379446640316
wminkowski,1,30,20,0.5612648221343873
wminkowski,1,35,1,0.6126482213438735
wminkowski,1,35,2,0.6245059288537549
wminkowski,1,35,3,0.5849802371541502
wminkowski,1,35,4,0.616600790513834
wminkowski,1,35,5,0.5691699604743083
wminkowski,1,35,6,0.5177865612648221
wminkowski,1,35,7,0.5652173913043478
wminkowski,1,35,8,0.5019762845849802
wminkowski,1,35,9,0.525691699604743
wminkowski,1,35,10,0.5375494071146245
wminkowski,1,35,11,0.5770750988142292
wminkowski,1,35,12,0.5810276679841897
wminkowski,1,35,13,0.6047430830039525
wminkowski,1,35,14,0.6245059288537549
wminkowski,1,35,15,0.5296442687747036
wminkowski,1,35,16,0.5770750988142292
wminkowski,1,35,17,0.5691699604743083
wminkowski,1,35,18,0.549407114624506
wminkowski,1,35,19,0.5691699604743083
wminkowski,1,35,20,0.6245059288537549
wminkowski,1,40,1,0.5849802371541502
wminkowski,1,40,2,0.5691699604743083
wminkowski,1,40,3,0.5533596837944664
wminkowski,1,40,4,0.48616600790513836
wminkowski,1,40,5,0.6561264822134387
wminkowski,1,40,6,0.525691699604743
wminkowski,1,40,7,0.5849802371541502
wminkowski,1,40,8,0.6007905138339921
wminkowski,1,40,9,0.5296442687747036
wminkowski,1,40,10,0.5335968379446641
wminkowski,1,40,11,0.5335968379446641
wminkowski,1,40,12,0.5217391304347826
wminkowski,1,40,13,0.5968379446640316
wminkowski,1,40,14,0.6086956521739131
