Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,2,30,1,0.7
minkowski,2,30,2,0.67
minkowski,2,30,3,0.66
minkowski,2,30,5,0.66
minkowski,2,30,10,0.7
minkowski,2,30,15,0.68
minkowski,2,30,20,0.61
minkowski,2,35,1,0.74
minkowski,2,35,2,0.68
minkowski,2,35,3,0.66
minkowski,2,35,5,0.69
minkowski,2,35,10,0.7
minkowski,2,35,15,0.66
minkowski,2,35,20,0.63
minkowski,2,40,1,0.72
minkowski,2,40,2,0.7
minkowski,2,40,3,0.68
minkowski,2,40,5,0.69
minkowski,2,40,10,0.7
minkowski,2,40,15,0.66
minkowski,2,40,20,0.63
minkowski,2,45,1,0.74
minkowski,2,45,2,0.69
minkowski,2,45,3,0.65
minkowski,2,45,5,0.67
minkowski,2,45,10,0.72
minkowski,2,45,15,0.69
minkowski,2,45,20,0.62
minkowski,2,50,1,0.74
minkowski,2,50,2,0.68
minkowski,2,50,3,0.67
minkowski,2,50,5,0.66
minkowski,2,50,10,0.71
minkowski,2,50,15,0.69
minkowski,2,50,20,0.65
minkowski,2,55,1,0.74
minkowski,2,55,2,0.7
minkowski,2,55,3,0.67
minkowski,2,55,5,0.67
minkowski,2,55,10,0.73
minkowski,2,55,15,0.68
minkowski,2,55,20,0.67
minkowski,2,60,1,0.74
minkowski,2,60,2,0.68
minkowski,2,60,3,0.67
minkowski,2,60,5,0.68
minkowski,2,60,10,0.72
minkowski,2,60,15,0.69
minkowski,2,60,20,0.7
minkowski,2,65,1,0.74
minkowski,2,65,2,0.7
minkowski,2,65,3,0.68
minkowski,2,65,5,0.68
minkowski,2,65,10,0.71
minkowski,2,65,15,0.67
minkowski,2,65,20,0.7
minkowski,2,70,1,0.75
minkowski,2,70,2,0.72
minkowski,2,70,3,0.67
minkowski,2,70,5,0.68
minkowski,2,70,10,0.72
minkowski,2,70,15,0.68
minkowski,2,70,20,0.71
minkowski,2,75,1,0.76
minkowski,2,75,2,0.71
minkowski,2,75,3,0.68
minkowski,2,75,5,0.7
minkowski,2,75,10,0.72
minkowski,2,75,15,0.7
minkowski,2,75,20,0.71
minkowski,3,0,1,0.75
minkowski,3,0,2,0.67
minkowski,3,0,3,0.71
minkowski,3,0,5,0.69
minkowski,3,0,10,0.75
minkowski,3,0,15,0.68
minkowski,3,0,20,0.69
minkowski,3,3,1,0.48
minkowski,3,3,2,0.46
minkowski,3,3,3,0.51
minkowski,3,3,5,0.48
minkowski,3,3,10,0.51
minkowski,3,3,15,0.52
minkowski,3,3,20,0.47
minkowski,3,4,1,0.57
minkowski,3,4,2,0.47
minkowski,3,4,3,0.53
minkowski,3,4,5,0.53
minkowski,3,4,10,0.53
minkowski,3,4,15,0.48
minkowski,3,4,20,0.48
minkowski,3,5,1,0.68
minkowski,3,5,2,0.49
minkowski,3,5,3,0.6
minkowski,3,5,5,0.55
minkowski,3,5,10,0.56
minkowski,3,5,15,0.57
minkowski,3,5,20,0.5
minkowski,3,6,1,0.59
minkowski,3,6,2,0.54
minkowski,3,6,3,0.59
minkowski,3,6,5,0.55
minkowski,3,6,10,0.56
minkowski,3,6,15,0.55
minkowski,3,6,20,0.51
minkowski,3,7,1,0.67
minkowski,3,7,2,0.55
minkowski,3,7,3,0.62
minkowski,3,7,5,0.57
minkowski,3,7,10,0.55
minkowski,3,7,15,0.55
minkowski,3,7,20,0.57
minkowski,3,8,1,0.65
minkowski,3,8,2,0.63
minkowski,3,8,3,0.63
minkowski,3,8,5,0.62
minkowski,3,8,10,0.56
minkowski,3,8,15,0.58
minkowski,3,8,20,0.55
minkowski,3,9,1,0.7
minkowski,3,9,2,0.62
minkowski,3,9,3,0.64
minkowski,3,9,5,0.68
minkowski,3,9,10,0.58
minkowski,3,9,15,0.57
minkowski,3,9,20,0.64
minkowski,3,10,1,0.67
minkowski,3,10,2,0.63
minkowski,3,10,3,0.64
minkowski,3,10,5,0.68
minkowski,3,10,10,0.59
minkowski,3,10,15,0.58
minkowski,3,10,20,0.64
minkowski,3,13,1,0.71
minkowski,3,13,2,0.71
minkowski,3,13,3,0.65
minkowski,3,13,5,0.69
minkowski,3,13,10,0.59
minkowski,3,13,15,0.62
minkowski,3,13,20,0.66
minkowski,3,15,1,0.72
minkowski,3,15,2,0.68
minkowski,3,15,3,0.67
minkowski,3,15,5,0.69
minkowski,3,15,10,0.63
minkowski,3,15,15,0.63
minkowski,3,15,20,0.66
minkowski,3,20,1,0.72
minkowski,3,20,2,0.69
minkowski,3,20,3,0.65
minkowski,3,20,5,0.63
minkowski,3,20,10,0.65
minkowski,3,20,15,0.73
minkowski,3,20,20,0.66
minkowski,3,25,1,0.71
minkowski,3,25,2,0.67
minkowski,3,25,3,0.67
minkowski,3,25,5,0.72
minkowski,3,25,10,0.71
minkowski,3,25,15,0.7
minkowski,3,25,20,0.62
minkowski,3,30,1,0.72
minkowski,3,30,2,0.65
minkowski,3,30,3,0.68
minkowski,3,30,5,0.7
minkowski,3,30,10,0.7
minkowski,3,30,15,0.71
minkowski,3,30,20,0.62
minkowski,3,35,1,0.71
minkowski,3,35,2,0.67
minkowski,3,35,3,0.66
minkowski,3,35,5,0.68
minkowski,3,35,10,0.74
minkowski,3,35,15,0.66
minkowski,3,35,20,0.64
minkowski,3,40,1,0.74
minkowski,3,40,2,0.64
minkowski,3,40,3,0.68
minkowski,3,40,5,0.69
minkowski,3,40,10,0.74
minkowski,3,40,15,0.68
minkowski,3,40,20,0.62
minkowski,3,45,1,0.72
minkowski,3,45,2,0.65
minkowski,3,45,3,0.69
minkowski,3,45,5,0.71
minkowski,3,45,10,0.75
minkowski,3,45,15,0.67
minkowski,3,45,20,0.64
minkowski,3,50,1,0.73
minkowski,3,50,2,0.64
minkowski,3,50,3,0.71
minkowski,3,50,5,0.7
minkowski,3,50,10,0.74
minkowski,3,50,15,0.69
minkowski,3,50,20,0.67
minkowski,3,55,1,0.75
minkowski,3,55,2,0.66
minkowski,3,55,3,0.71
minkowski,3,55,5,0.69
minkowski,3,55,10,0.75
minkowski,3,55,15,0.7
minkowski,3,55,20,0.66
minkowski,3,60,1,0.75
minkowski,3,60,2,0.66
minkowski,3,60,3,0.72
minkowski,3,60,5,0.71
minkowski,3,60,10,0.76
minkowski,3,60,15,0.7
minkowski,3,60,20,0.67
minkowski,3,65,1,0.76
minkowski,3,65,2,0.67
minkowski,3,65,3,0.7
minkowski,3,65,5,0.71
minkowski,3,65,10,0.76
minkowski,3,65,15,0.7
minkowski,3,65,20,0.68
